card_number,card_name,type,rarity,artist,level,hp,species
—,PlusPower,T,Uncommon,Keiji Kinebuchi,—,—,—
—,Pokédex,T,Uncommon,Keiji Kinebuchi,—,—,—
—,Pokémon Center,T,Uncommon,Keiji Kinebuchi,—,—,—
—,Pokémon Flute,T,Uncommon,Keiji Kinebuchi,—,—,—
—,Maintenance,T,Uncommon,Keiji Kinebuchi,—,—,—
—,Devolution Spray,T,Rare,Keiji Kinebuchi,—,—,—
—,Item Finder,T,Rare,Keiji Kinebuchi,—,—,—
—,Super Energy Removal,T,Rare,Keiji Kinebuchi,—,—,—
—,Impostor Professor Oak,T,Rare,Ken Sugimori,—,—,—
—,Computer Search,T,Rare,Keiji Kinebuchi,—,—,—
—,Clefairy Doll,T,Rare,Keiji Kinebuchi,—,10,—
—,Scoop Up,T,Rare,Keiji Kinebuchi,—,—,—
—,Pokémon Trader,T,Rare,Ken Sugimori,—,—,—
—,Pokémon Breeder,T,Rare,Ken Sugimori,—,—,—
—,Lass,T,Rare,Ken Sugimori,—,—,—
—,Double Colorless Energy,Colorless E,Uncommon,—,—,—,—
—,Grass Energy,Grass E,—,—,—,—,—
—,Fire Energy,Fire E,—,—,—,—,—
—,Water Energy,Water E,—,—,—,—,—
—,Lightning Energy,Lightning E,—,—,—,—,—
—,Psychic Energy,Psychic E,—,—,—,—,—
—,Fighting Energy,Fighting E,—,—,—,—,—
